SORA_Publication_Date,SORA,SORA_Index,Compound_SORA_1M,Compound_SORA_3M,Compound_SORA_6M
2017-01-04,0.2354,0.9689525822,0.2527,0.1478,0.14
2017-01-05,0.1257,0.9689559192,0.2551,0.1488,0.1399
2017-01-06,0.104,0.96895868,0.2554,0.1494,0.1399
2017-01-09,0.1122,0.9689676157,0.2569,0.1498,0.1403
2017-01-10,0.0523,0.9689690041,0.2549,0.149,0.1402
2017-01-11,0.0301,0.9689698032,0.2521,0.1485,0.1399
2017-01-12,0.0378,0.9689708066,0.2496,0.1476,0.1398
2017-01-13,0.0555,0.96897228,0.2462,0.147,0.1398
2017-01-16,0.1292,0.9689825697,0.2218,0.149,0.1405
2017-01-17,0.1119,0.9689855404,0.2174,0.1493,0.1405
2017-01-18,0.1605,0.9689898012,0.2146,0.1507,0.1407
2017-01-19,0.1319,0.9689933029,0.2108,0.1518,0.1411
2017-01-20,0.0983,0.9689959125,0.202,0.1523,0.1413
2017-01-23,0.0598,0.9690006752,0.1875,0.1502,0.1368
2017-01-24,0.0799,0.9690027964,0.1834,0.1493,0.1354
2017-01-25,0.0865,0.9690050928,0.1795,0.1482,0.1339
2017-01-26,0.0685,0.9690069113,0.1751,0.148,0.1309
2017-01-27,0.1849,0.9690118201,0.1744,0.1493,0.1276
2017-01-31,0.5198,0.9690670192,0.1911,0.1681,0.126
2017-02-01,0.1388,0.9690707043,0.1808,0.1688,0.1248
2017-02-02,0.1208,0.9690739116,0.1699,0.1693,0.1244
2017-02-03,0.2009,0.9690792455,0.1615,0.1706,0.1251
2017-02-06,0.4127,0.9691121172,0.1864,0.182,0.1315
2017-02-07,0.3364,0.9691210489,0.1937,0.1848,0.1332
2017-02-08,0.1171,0.9691241581,0.1938,0.1855,0.1338
2017-02-09,0.1515,0.9691281806,0.1951,0.1863,0.1345
2017-02-10,0.338,0.969137155,0.2043,0.189,0.1363
2017-02-13,0.5471,0.9691807343,0.2533,0.2051,0.1449
2017-02-14,0.6944,0.9691991726,0.2715,0.2123,0.1486
2017-02-15,0.3852,0.969209401,0.2798,0.2154,0.1506
2017-02-16,0.1524,0.9692134478,0.2805,0.2162,0.1511
2017-02-17,0.0975,0.9692160368,0.2801,0.2165,0.1513
2017-02-20,0.1687,0.9692294757,0.2838,0.2203,0.1524
2017-02-21,0.156,0.9692336182,0.2869,0.2215,0.1528
2017-02-22,0.5143,0.9692472751,0.3016,0.2259,0.1552
2017-02-23,0.6109,0.9692634973,0.3194,0.2316,0.1582
2017-02-24,0.5746,0.9692787559,0.3353,0.2371,0.1609
2017-02-27,0.2226,0.9692964898,0.3459,0.2365,0.1629
2017-02-28,0.3106,0.9693047381,0.3391,0.2364,0.1635
2017-03-01,0.4731,0.9693173018,0.3317,0.2413,0.163
2017-03-02,0.305,0.9693254016,0.3383,0.2442,0.1641
2017-03-03,0.1629,0.9693297277,0.3369,0.2455,0.1646
2017-03-06,0.183,0.9693443075,0.3123,0.2494,0.1663
2017-03-07,0.2365,0.9693505883,0.3088,0.2507,0.1673
2017-03-08,0.1343,0.969354155,0.3094,0.2515,0.1679
2017-03-09,0.0555,0.969355629,0.3059,0.2509,0.1681
2017-03-10,0.1194,0.9693588,0.2981,0.251,0.1686
2017-03-13,0.1532,0.9693710059,0.2559,0.2517,0.1707
2017-03-14,0.1035,0.9693737547,0.2348,0.2486,0.171
2017-03-15,0.1423,0.9693775339,0.2261,0.246,0.1714
2017-03-16,0.1113,0.9693804898,0.2247,0.243,0.1718
2017-03-17,0.3634,0.9693901411,0.2342,0.2442,0.1736
2017-03-20,0.4885,0.9694290628,0.2684,0.2509,0.1809
2017-03-21,0.6229,0.9694456069,0.2851,0.2545,0.1841
2017-03-22,0.343,0.969454717,0.279,0.2558,0.1857
2017-03-23,0.3168,0.9694631313,0.2685,0.2582,0.1872
2017-03-24,0.1248,0.9694664461,0.2524,0.2572,0.1876
2017-03-27,0.2633,0.9694874264,0.2568,0.2592,0.191
2017-03-28,0.2306,0.9694935515,0.2539,0.2585,0.1918
2017-03-29,0.195,0.9694987309,0.2519,0.2562,0.1922
2017-03-30,0.4827,0.9695115522,0.2596,0.257,0.1938
2017-03-31,0.4343,0.9695230881,0.2652,0.2567,0.1952
2017-04-03,0.5687,0.969568406,0.2899,0.2604,0.2025
2017-04-04,0.6962,0.9695868995,0.3065,0.2655,0.2061
2017-04-05,0.3758,0.9695968823,0.3127,0.2683,0.2079
2017-04-06,0.3076,0.9696050534,0.3167,0.2705,0.2094
2017-04-07,0.2147,0.9696107568,0.316,0.2717,0.2102
2017-04-10,0.1849,0.9696254923,0.3239,0.2748,0.2113
2017-04-11,0.2675,0.9696325984,0.3276,0.2774,0.2123
2017-04-12,0.3735,0.9696425206,0.3347,0.2811,0.2137
2017-04-13,0.4849,0.9696554022,0.3454,0.2859,0.2157
2017-04-17,0.7076,0.9697305943,0.4135,0.3118,0.2297
2017-04-18,0.4296,0.9697420079,0.4116,0.3148,0.2319
2017-04-19,0.3628,0.9697516469,0.4076,0.3174,0.2337
2017-04-20,0.247,0.9697582093,0.3998,0.319,0.2348
2017-04-21,0.362,0.9697678272,0.3913,0.3224,0.2365
2017-04-24,0.4809,0.9698061583,0.4126,0.3362,0.2418
2017-04-25,0.4397,0.9698178411,0.4183,0.3402,0.2432
2017-04-26,0.4835,0.9698306879,0.4254,0.3448,0.2454
2017-04-27,0.5996,0.9698466197,0.4362,0.3494,0.2483
2017-04-28,0.3922,0.9698570409,0.4414,0.348,0.2501
2017-05-02,0.4526,0.9699051458,0.4415,0.3518,0.2591
2017-05-03,0.446,0.9699169972,0.4374,0.3545,0.2611
