month,SORA_Publication_Date,SORA,SORA_Index,Compound_SORA_1M,Compound_SORA_3M,Compound_SORA_6M
2017-01-01,2017-01-04,0.2354,0.9689525822,0.2527,0.1478,0.14
2017-02-01,2017-02-01,0.1388,0.9690707043,0.1808,0.1688,0.1248
2017-03-01,2017-03-01,0.4731,0.9693173018,0.3317,0.2413,0.163
2017-04-01,2017-04-03,0.5687,0.969568406,0.2899,0.2604,0.2025
2017-05-01,2017-05-02,0.4526,0.9699051458,0.4415,0.3518,0.2591
2017-06-01,2017-06-01,0.4503,0.9702990658,0.4928,0.4018,0.3226
2017-07-01,2017-07-03,0.8239,0.9707613975,0.5486,0.4935,0.3778
2017-08-01,2017-08-01,0.986,0.9713583017,0.7772,0.5993,0.476
2017-09-01,2017-09-04,0.5189,0.9720099594,0.7116,0.6832,0.5475
2017-10-01,2017-10-02,0.5979,0.9724633554,0.6021,0.7045,0.5986
2017-11-01,2017-11-01,1.0968,0.9731667327,0.8709,0.7386,0.6695
2017-12-01,2017-12-01,1.2592,0.9737335842,0.7087,0.7284,0.706
2018-01-01,2018-01-02,0.8605,0.9745336386,0.9283,0.8446,0.7753
2018-02-01,2018-02-01,0.8294,0.9748270534,0.3823,0.6769,0.7084
2018-03-01,2018-03-01,0.5943,0.9755850787,1.0137,0.7711,0.7503
2018-04-01,2018-04-02,0.7834,0.976164319,0.6871,0.6786,0.7632
2018-05-01,2018-05-02,1.4725,0.9767749113,0.761,0.8108,0.7419
2018-06-01,2018-06-01,1.1205,0.9776203658,1.0667,0.8277,0.8005
2018-07-01,2018-07-02,1.3426,0.9783713209,0.9014,0.9068,0.7941
2018-08-01,2018-08-01,1.7311,0.9793547053,1.2268,1.0639,0.9366
2018-09-01,2018-09-03,1.0628,0.9805626168,1.3398,1.1723,1.0069
2018-10-01,2018-10-01,1.1084,0.9813384753,1.0336,1.2178,1.0615
2018-11-01,2018-11-01,1.4498,0.9823463957,1.2093,1.2119,1.1395
2018-12-01,2018-12-03,1.9655,0.9836733415,1.5403,1.2724,1.224
2019-01-01,2019-01-02,1.7645,0.9849914387,1.6412,1.4639,1.3423
2019-02-01,2019-02-01,1.8978,0.9861730591,1.4694,1.5455,1.3811
2019-03-01,2019-03-01,1.6556,0.9874341709,1.667,1.5944,1.425
2019-04-01,2019-04-01,2.2358,0.9886895932,1.497,1.5423,1.5023
2019-05-01,2019-05-02,2.0791,0.9901249499,1.7147,1.6249,1.5883
